benchmark,mode,dtype,acc,M,K,N,mnk,run,host_seconds,note
me_matmul_00745_a51ed22c,f16->f16,f16,f16,1280,4032,1728,8918138880,PANIC,752,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00159_04257eb8,f8E5M2->f32,f8E5M2,f32,896,3072,3328,9160359936,TIMEOUT,14401,killed after 14400s guard (likely livelock)
me_matmul_00397_6de99a99,f16->f32,f16,f32,2304,1728,2304,9172942848,PANIC,870,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00235_e3b25f9c,f8E5M2->f32,f8E5M2,f32,3200,3200,896,9175040000,PANIC,765,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00234_d1654277,f8E5M2->f32,f8E5M2,f32,768,3584,3456,9512681472,PANIC,887,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00100_018b4b1d,f8E5M2->f32,f8E5M2,f32,2816,3072,1152,9965666304,PANIC,854,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00239_2052de81,f8E5M2->f32,f8E5M2,f32,1920,1408,3712,10034872320,RUN-FAIL,1477,"gem5 rc=1, no stats.txt"
me_matmul_00537_aae94981,f16->f16,f16,f16,1664,1792,3456,10305404928,TIMEOUT,14403,killed after 14400s guard (likely livelock)
me_matmul_00464_a245148e,f16->f32,f16,f32,1984,2176,2496,10775691264,TIMEOUT,14403,killed after 14400s guard (likely livelock)
me_matmul_00149_9bad879b,f8E5M2->f32,f8E5M2,f32,3072,2688,1408,11626610688,PANIC,916,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00009_b1f05256,f8E5M2->f32,f8E5M2,f32,1024,3072,3712,11676942336,PANIC,889,Runtime Error at MESI_Two_Level-L1cache.sm:326: Invalid Ru
me_matmul_00129_7b72e836,f8E5M2->f32,f8E5M2,f32,1792,3968,1664,11832131584,TIMEOUT,14402,killed after 14400s guard (likely livelock)
me_matmul_00572_ec8bbee6,f16->f16,f16,f16,3520,1536,2560,13841203200,PANIC,916,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00219_ede89b01,f8E5M2->f32,f8E5M2,f32,4096,2688,1408,15502147584,TIMEOUT,14402,killed after 14400s guard (likely livelock)
me_matmul_00031_8585a1e7,f8E5M2->f32,f8E5M2,f32,1280,4096,3072,16106127360,TIMEOUT,14402,killed after 14400s guard (likely livelock)
me_matmul_00334_4e2d8858,f16->f32,f16,f32,3968,1280,3264,16577986560,RUN-FAIL,2000,"gem5 rc=1, no stats.txt"
me_matmul_00728_400cbfc0,f16->f16,f16,f16,2368,2560,3200,19398656000,PANIC,1066,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00176_e6776c88,f8E5M2->f32,f8E5M2,f32,2816,3456,2048,19931332608,RUN-FAIL,1488,"gem5 rc=1, no stats.txt"
me_matmul_00026_97da1abb,f8E5M2->f32,f8E5M2,f32,3200,2432,2816,21915238400,RUN-FAIL,1679,"gem5 rc=1, no stats.txt"
me_matmul_00119_e90a813c,f8E5M2->f32,f8E5M2,f32,3584,2944,2176,22959620096,RUN-FAIL,1839,"gem5 rc=1, no stats.txt"
me_matmul_00084_9e8d1728,f8E5M2->f32,f8E5M2,f32,3456,3328,2944,33860616192,PANIC,1406,panic condition !handled && !tc->getSystemPtr()->trapToGdb
