benchmark,mode,dtype,acc,M,K,N,mnk,ticks,log_ticks,host_seconds
me_matmul_00120_008a860c,f8E5M2->f32,f8E5M2,f32,128,256,256,8388608,1093376500.0,20.812536451602288,36.0
me_matmul_00229_3af00d5f,f8E5M2->f32,f8E5M2,f32,256,128,256,8388608,1731310000.0,21.272144184339094,71.0
me_matmul_00331_06667e9c,f16->f32,f16,f32,128,128,512,8388608,1903750000.0,21.367091462173647,94.0
me_matmul_00388_b60db367,f16->f32,f16,f32,2048,64,64,8388608,3488985000.0,21.972876699915666,113.0
me_matmul_00622_5a28286f,f16->f16,f16,f16,128,512,128,8388608,734941500.0,20.415301462172778,28.0
me_matmul_00764_4af1a0be,f16->f16,f16,f16,512,64,256,8388608,2201886000.0,21.512580102789563,66.0
me_matmul_00359_38133f5a,f16->f32,f16,f32,128,128,576,9437184,2125963000.0,21.477490713139936,66.0
me_matmul_00597_858daa7a,f16->f16,f16,f16,128,192,384,9437184,1073487500.0,20.79417853106068,75.0
me_matmul_00401_8c5cd741,f16->f32,f16,f32,832,192,64,10223616,1770706500.0,21.294644456434337,78.0
me_matmul_00592_e29ef34d,f16->f16,f16,f16,64,832,192,10223616,884145500.0,20.600132199818198,46.0
me_matmul_00392_651fbff7,f16->f32,f16,f32,128,320,256,10485760,1269653000.0,20.96200947173679,68.0
me_matmul_00490_c088b90d,f16->f32,f16,f32,256,320,128,10485760,1251180000.0,20.947352942972834,38.0
me_matmul_00700_d04dccde,f16->f16,f16,f16,448,384,64,11010048,992449500.0,20.715686687619016,43.0
me_matmul_00358_917b57c4,f16->f32,f16,f32,704,256,64,11534336,1629876500.0,21.211770082023463,94.0
me_matmul_00486_b59ff24c,f16->f32,f16,f32,256,64,704,11534336,4504400500.0,22.228320644789715,100.0
me_matmul_00398_0f335be8,f16->f32,f16,f32,192,960,64,11796480,991344500.0,20.71457266054334,37.0
me_matmul_00418_d28fe52c,f16->f32,f16,f32,576,64,320,11796480,4615536500.0,22.25269394949884,107.0
me_matmul_00559_44093b8a,f16->f16,f16,f16,320,576,64,11796480,936440000.0,20.65759600945639,58.0
me_matmul_00611_ebc21001,f16->f16,f16,f16,192,192,320,11796480,1294275000.0,20.981216529766026,43.0
me_matmul_00062_be0bb957,f8E5M2->f32,f8E5M2,f32,128,256,384,12582912,1588463000.0,21.186032718988344,46.0
me_matmul_00237_20742fd4,f8E5M2->f32,f8E5M2,f32,384,128,256,12582912,2638034000.0,21.69329977971041,70.0
me_matmul_00290_21c3e5ba,f16->f32,f16,f32,128,384,256,12582912,1341589500.0,21.017120941966798,40.0
me_matmul_00305_3f8e3a10,f16->f32,f16,f32,3072,64,64,12582912,5157681000.0,22.363752896816422,148.0
me_matmul_00417_86cc1d15,f16->f32,f16,f32,192,128,512,12582912,2681227500.0,21.709540548997,67.0
me_matmul_00430_823fb0b0,f16->f32,f16,f32,128,256,384,12582912,1665716000.0,21.233520897972433,92.0
me_matmul_00469_38e82d50,f16->f32,f16,f32,64,768,256,12582912,1193534500.0,20.900184909902666,41.0
me_matmul_00564_cbd7205e,f16->f16,f16,f16,512,128,192,12582912,1808754000.0,21.315904047379533,54.0
me_matmul_00755_cd96e203,f16->f16,f16,f16,128,192,512,12582912,1428805000.0,21.080104267520476,46.0
me_matmul_00774_54d71637,f16->f16,f16,f16,1536,128,64,12582912,2003308500.0,21.41806590074193,72.0
me_matmul_00498_a29f9022,f16->f32,f16,f32,128,320,320,13107200,1498772500.0,21.127912276703736,55.0
me_matmul_00718_651def49,f16->f16,f16,f16,1664,128,64,13631488,2152497500.0,21.4898946328253,64.0
me_matmul_00333_b2fb3f12,f16->f32,f16,f32,192,192,384,14155776,2188807500.0,21.50662271192172,88.0
me_matmul_00377_1ac86ddb,f16->f32,f16,f32,448,128,256,14680064,3119559500.0,21.8609576429027,79.0
me_matmul_00330_0732df41,f16->f32,f16,f32,128,128,960,15728640,3391656000.0,21.94458413463887,83.0
me_matmul_00439_038dc27b,f16->f32,f16,f32,128,384,320,15728640,1577760500.0,21.179272273453222,47.0
me_matmul_00536_cc01a22f,f16->f16,f16,f16,384,128,320,15728640,2148440000.0,21.488007834329053,62.0
me_matmul_00574_3b519788,f16->f16,f16,f16,192,320,256,15728640,1171610000.0,20.88164470821772,41.0
me_matmul_00614_89d52bc0,f16->f16,f16,f16,128,640,192,15728640,999209500.0,20.72247502433653,68.0
me_matmul_00698_73be664e,f16->f16,f16,f16,320,192,256,15728640,1641101500.0,21.21863349967052,53.0
me_matmul_00357_88a98d51,f16->f32,f16,f32,448,576,64,16515072,1447965000.0,21.093424959347086,88.0
me_matmul_00529_f1b8125d,f16->f16,f16,f16,192,448,192,16515072,1108886500.0,20.826622195622626,78.0
me_matmul_00759_d0e7cb05,f16->f16,f16,f16,64,576,448,16515072,1305047000.0,20.9895048923982,45.0
me_matmul_00199_6ea17fcb,f8E5M2->f32,f8E5M2,f32,512,128,256,16777216,3431630000.0,21.956301203902527,84.0
me_matmul_00258_3034406d,f8E5M2->f32,f8E5M2,f32,256,256,256,16777216,1862556000.0,21.345215574880076,86.0
me_matmul_00474_5569e29e,f16->f32,f16,f32,2048,128,64,16777216,3833004000.0,22.06691466691329,93.0
me_matmul_00435_ab849f4c,f16->f32,f16,f32,128,704,192,17301504,1312085500.0,20.994883693027916,78.0
me_matmul_00618_a8f29f26,f16->f16,f16,f16,704,128,192,17301504,2392722500.0,21.595697675922317,65.0
me_matmul_00502_cc462159,f16->f32,f16,f32,1088,64,256,17825792,7768693500.0,22.773367840469575,208.0
me_matmul_00511_e9877d55,f16->f32,f16,f32,2176,64,128,17825792,8132266000.0,22.819105442457914,229.0
me_matmul_00555_faf62556,f16->f16,f16,f16,64,128,2240,18350080,2965620000.0,21.810351953775896,88.0
me_matmul_00637_472737cc,f16->f16,f16,f16,128,320,448,18350080,1397202500.0,21.057737860188222,46.0
me_matmul_00057_82fb4c2d,f8E5M2->f32,f8E5M2,f32,384,128,384,18874368,3588870500.0,22.001103365986665,83.0
me_matmul_00214_a0a5d417,f8E5M2->f32,f8E5M2,f32,128,1152,128,18874368,1044185500.0,20.76650299261562,35.0
me_matmul_00218_146ecd80,f8E5M2->f32,f8E5M2,f32,128,128,1152,18874368,3763753500.0,22.0486825676834,99.0
me_matmul_00303_a82e9452,f16->f32,f16,f32,128,768,192,18874368,1361058000.0,21.031528175431447,48.0
me_matmul_00352_179fbdc8,f16->f32,f16,f32,64,192,1536,18874368,3245165500.0,21.900432187342762,79.0
me_matmul_00496_c49b1808,f16->f32,f16,f32,384,256,192,18874368,2249873000.0,21.534139607125248,61.0
me_matmul_00659_ef683976,f16->f16,f16,f16,576,256,128,18874368,1640354500.0,21.218178213960215,52.0
me_matmul_00679_8dce0589,f16->f16,f16,f16,512,576,64,18874368,1305392500.0,20.989769598783482,89.0
me_matmul_00782_b72dbd9e,f16->f16,f16,f16,128,192,768,18874368,2025177500.0,21.428923187984484,71.0
me_matmul_00296_af441f57,f16->f32,f16,f32,64,128,2368,19398656,4942521500.0,22.321141463024876,106.0
me_matmul_00487_37580d52,f16->f32,f16,f32,192,320,320,19660800,2023217500.0,21.42795490294652,55.0
me_matmul_00726_e2106656,f16->f16,f16,f16,320,320,192,19660800,1436111500.0,21.085204950797685,73.0
me_matmul_00356_15db19aa,f16->f32,f16,f32,1216,256,64,19922944,2635438500.0,21.69231541875676,76.0
me_matmul_00141_dc4b7d97,f8E5M2->f32,f8E5M2,f32,128,640,256,20971520,1416121500.0,21.07118763362164,44.0
me_matmul_00415_3854caa7,f16->f32,f16,f32,1024,320,64,20971520,2438637000.0,21.614705113615376,125.0
me_matmul_00566_8d82c963,f16->f16,f16,f16,128,320,512,20971520,1638416000.0,21.21699575838678,49.0
me_matmul_00650_d3ffadf1,f16->f16,f16,f16,192,1728,64,21233664,1282763000.0,20.972282182211703,43.0
me_matmul_00266_0fe5b3a6,f16->f32,f16,f32,896,192,128,22020096,3332889000.0,21.92710533238711,80.0
me_matmul_00510_df2fa4d5,f16->f32,f16,f32,128,64,2688,22020096,10556174000.0,23.07997673896812,236.0
me_matmul_00299_4f77d7af,f16->f32,f16,f32,192,64,1856,22806528,9447246500.0,22.96898916033255,251.0
me_matmul_00321_ade939ce,f16->f32,f16,f32,256,1408,64,23068672,1481245000.0,21.116148787314593,56.0
me_matmul_00476_19ea2733,f16->f32,f16,f32,640,192,192,23592960,3399880500.0,21.94700612089203,91.0
me_matmul_00606_71c783d9,f16->f16,f16,f16,128,320,576,23592960,1810949500.0,21.31711713031256,53.0
me_matmul_00615_bed22c8b,f16->f16,f16,f16,64,192,1920,23592960,2955361000.0,21.80688664616348,90.0
me_matmul_00301_57e7fdbb,f16->f32,f16,f32,128,64,3008,24641536,11895574000.0,23.199432235106638,312.0
me_matmul_00466_105bb787,f16->f32,f16,f32,1216,320,64,24903680,2792676500.0,21.750266291923705,73.0
me_matmul_00023_286fbd93,f8E5M2->f32,f8E5M2,f32,384,256,256,25165824,2603829500.0,21.6802490829586,84.0
me_matmul_00094_664eb3d8,f8E5M2->f32,f8E5M2,f32,128,256,768,25165824,2927386000.0,21.79737571160192,73.0
me_matmul_00095_d7aabcce,f8E5M2->f32,f8E5M2,f32,128,512,384,25165824,1842270000.0,21.334264343842317,53.0
me_matmul_00158_7894f596,f8E5M2->f32,f8E5M2,f32,384,128,512,25165824,4950595500.0,22.322773709321485,125.0
me_matmul_00178_071a8425,f8E5M2->f32,f8E5M2,f32,384,512,128,25165824,1709249000.0,21.259319929706084,99.0
me_matmul_00571_b46f1372,f16->f16,f16,f16,64,384,1024,25165824,2188002500.0,21.50625486410147,63.0
me_matmul_00402_065c67c8,f16->f32,f16,f32,320,128,640,26214400,5252544500.0,22.38197846280366,122.0
me_matmul_00527_6dccf190,f16->f16,f16,f16,1280,64,320,26214400,6224630000.0,22.551779839779684,149.0
me_matmul_00699_2d83d6d0,f16->f16,f16,f16,256,320,320,26214400,1701673000.0,21.254877721729336,68.0
me_matmul_00703_b2830fa2,f16->f16,f16,f16,128,320,640,26214400,2004368500.0,21.418594885500294,113.0
me_matmul_00315_3ec4661b,f16->f32,f16,f32,192,1088,128,26738688,1563570000.0,21.170237505206302,47.0
me_matmul_00102_43dfcc86,f8E5M2->f32,f8E5M2,f32,128,128,1664,27262976,5344802500.0,22.39939043031978,118.0
me_matmul_00438_ff6ef581,f16->f32,f16,f32,256,128,832,27262976,5487775500.0,22.425788819098862,136.0
me_matmul_00647_9c5f4ae4,f16->f16,f16,f16,448,960,64,27525120,1561588500.0,21.168969409354183,73.0
me_matmul_00768_ba5e1158,f16->f16,f16,f16,256,192,576,28311552,2690190500.0,21.71287784589656,99.0
me_matmul_00369_a47c01e3,f16->f32,f16,f32,704,64,640,28835840,12087900000.0,23.215470789215523,368.0
me_matmul_00175_e903a104,f8E5M2->f32,f8E5M2,f32,128,896,256,29360128,1606945000.0,21.19760069785162,59.0
me_matmul_00425_dce0a6f4,f16->f32,f16,f32,64,256,1792,29360128,4068299000.0,22.12649081292334,148.0
me_matmul_00671_2375518c,f16->f16,f16,f16,1792,128,128,29360128,3662258500.0,22.021345870549002,100.0
me_matmul_00477_9065456c,f16->f32,f16,f32,128,128,1856,30408704,6460886000.0,22.589032297039275,150.0
me_matmul_00294_ae1e7d73,f16->f32,f16,f32,1088,448,64,31195136,2808315500.0,21.755850674348196,77.0
me_matmul_00017_0ef2abcc,f8E5M2->f32,f8E5M2,f32,640,128,384,31457280,6113685000.0,22.53379553798868,142.0
me_matmul_00079_5f26a1ed,f8E5M2->f32,f8E5M2,f32,128,384,640,31457280,2679338000.0,21.70883558603059,99.0
me_matmul_00221_62b08ee9,f8E5M2->f32,f8E5M2,f32,384,128,640,31457280,6107181500.0,22.53273121073923,141.0
me_matmul_00308_635427b6,f16->f32,f16,f32,192,512,320,31457280,2292460500.0,21.552891531848307,61.0
me_matmul_00627_26b33187,f16->f16,f16,f16,384,256,320,31457280,2368599500.0,21.585564689156485,64.0
me_matmul_00741_dc5a2971,f16->f16,f16,f16,128,64,3840,31457280,7940651000.0,22.795261098768897,201.0
me_matmul_00748_052ad462,f16->f16,f16,f16,768,64,640,31457280,7640621500.0,22.7567447849838,191.0
me_matmul_00708_ba3f9009,f16->f16,f16,f16,1600,64,320,32768000,7947130000.0,22.796076694144887,231.0
me_matmul_00420_d9b6d8d0,f16->f32,f16,f32,384,448,192,33030144,2516788500.0,21.646249520963508,104.0
me_matmul_00557_6d00a89a,f16->f16,f16,f16,128,64,4032,33030144,8886812500.0,22.907834273246802,204.0
me_matmul_00638_8383f223,f16->f16,f16,f16,384,448,192,33030144,1833628000.0,21.32956235487421,55.0
me_matmul_00088_322b27bb,f8E5M2->f32,f8E5M2,f32,256,1024,128,33554432,1538850500.0,21.15430154608401,51.0
me_matmul_00110_f2dd19f4,f8E5M2->f32,f8E5M2,f32,256,512,256,33554432,2063440500.0,21.447640572236704,58.0
me_matmul_00112_8ec83ee9,f8E5M2->f32,f8E5M2,f32,256,256,512,33554432,3413250500.0,21.950930900017077,80.0
me_matmul_00643_d5a01cbe,f16->f16,f16,f16,128,512,512,33554432,1872440000.0,21.35050823011864,55.0
me_matmul_00542_2de0296b,f16->f16,f16,f16,704,128,384,34603008,4456267000.0,22.217577256986363,133.0
me_matmul_00604_815a2458,f16->f16,f16,f16,704,192,256,34603008,3239694500.0,21.8987448721816,158.0
me_matmul_00411_da033a47,f16->f32,f16,f32,64,320,1792,36700160,4384871000.0,22.201426043865762,114.0
me_matmul_00076_def89567,f8E5M2->f32,f8E5M2,f32,128,256,1152,37748736,4235107500.0,22.16667454843547,134.0
me_matmul_00184_b14d7812,f8E5M2->f32,f8E5M2,f32,384,256,384,37748736,3752174000.0,22.045601242281613,94.0
me_matmul_00230_4d5159b9,f8E5M2->f32,f8E5M2,f32,128,1152,256,37748736,1791024000.0,21.306053360270212,98.0
me_matmul_00550_aef6a540,f16->f16,f16,f16,256,384,384,37748736,2075707500.0,21.453567896369528,72.0
me_matmul_00578_f997739f,f16->f16,f16,f16,64,2304,256,37748736,2249762500.0,21.534090492035805,119.0
me_matmul_00623_5a426f16,f16->f16,f16,f16,576,512,128,37748736,2015701500.0,21.424233110716568,69.0
me_matmul_00683_50f0d5e9,f16->f16,f16,f16,1920,64,320,39321600,10597812000.0,23.083913401663565,272.0
me_matmul_00734_c7daa4ac,f16->f16,f16,f16,1216,64,512,39845888,9949052000.0,23.02074310719592,278.0
me_matmul_00374_5711a10d,f16->f32,f16,f32,704,896,64,40370176,2581297000.0,21.671557822740294,72.0
me_matmul_00123_2309b415,f8E5M2->f32,f8E5M2,f32,128,2560,128,41943040,1630639500.0,21.21223810611163,46.0
me_matmul_00238_ecd5ae65,f8E5M2->f32,f8E5M2,f32,128,1280,256,41943040,1880989000.0,21.35506353929499,93.0
me_matmul_00251_ae66681f,f8E5M2->f32,f8E5M2,f32,640,128,512,41943040,9426547000.0,22.966795694742363,185.0
me_matmul_00253_a6d8c01d,f8E5M2->f32,f8E5M2,f32,256,640,256,41943040,2171041000.0,21.498472612970552,64.0
me_matmul_00577_c871bcf2,f16->f16,f16,f16,640,128,512,41943040,5197518000.0,22.37144704089391,143.0
me_matmul_00371_c613d386,f16->f32,f16,f32,1152,192,192,42467328,6058782000.0,22.524774626727407,227.0
me_matmul_00580_7666e548,f16->f16,f16,f16,384,1728,64,42467328,2060967500.0,21.446441369686248,62.0
me_matmul_00670_498f2601,f16->f16,f16,f16,256,2624,64,42991616,2106205500.0,21.468153824245316,69.0
me_matmul_00143_7b6fa55f,f8E5M2->f32,f8E5M2,f32,128,896,384,44040192,2223113500.0,21.522174527755105,112.0
me_matmul_00262_213ce133,f16->f32,f16,f32,128,1344,256,44040192,2247390500.0,21.53303560232226,63.0
me_matmul_00391_7d497292,f16->f32,f16,f32,384,64,1792,44040192,18243168000.0,23.627056490721767,396.0
me_matmul_00523_1f26d2c9,f16->f32,f16,f32,448,256,384,44040192,4731042500.0,22.2774114168567,106.0
me_matmul_00646_e9b165ac,f16->f16,f16,f16,448,256,384,44040192,3218069000.0,21.8920473271761,141.0
me_matmul_00729_2ae470f3,f16->f16,f16,f16,192,256,896,44040192,3358521000.0,21.93476653544307,98.0
me_matmul_00370_9b905833,f16->f32,f16,f32,1856,128,192,45613056,11279866000.0,23.146285203513138,221.0
me_matmul_00380_c5d2c503,f16->f32,f16,f32,1856,64,384,45613056,20057976500.0,23.721892742009388,430.0
me_matmul_00191_c86f5c2d,f8E5M2->f32,f8E5M2,f32,256,128,1408,46137344,9640226500.0,22.989210441143463,276.0
me_matmul_00521_1e82f413,f16->f32,f16,f32,128,128,2816,46137344,10025831000.0,23.02843069947171,220.0
me_matmul_00760_3737c6c1,f16->f16,f16,f16,128,1920,192,47185920,1993169500.0,21.412991922227555,64.0
me_matmul_00403_945874b5,f16->f32,f16,f32,128,128,2944,48234496,10457301500.0,23.070566279508316,348.0
me_matmul_00660_b312980b,f16->f16,f16,f16,2944,128,128,48234496,5907445500.0,22.499479341422052,164.0
me_matmul_00784_bdaba0d8,f16->f16,f16,f16,3008,128,128,49283072,6537885500.0,22.60087963209416,159.0
me_matmul_00777_10b09a5e,f16->f16,f16,f16,320,128,1216,49807360,6226195500.0,22.55203130905106,147.0
me_matmul_00067_9639c959,f8E5M2->f32,f8E5M2,f32,256,256,768,50331648,5008936000.0,22.334489354238865,167.0
me_matmul_00222_74c82a08,f8E5M2->f32,f8E5M2,f32,384,256,512,50331648,5152350000.0,22.36271875822361,112.0
me_matmul_00284_ee670724,f16->f32,f16,f32,192,1024,256,50331648,2488907000.0,21.635109495230424,68.0
me_matmul_00594_e72da637,f16->f16,f16,f16,512,256,384,50331648,3615591500.0,22.00852130296199,89.0
me_matmul_00730_b14457a6,f16->f16,f16,f16,256,128,1536,50331648,6379660500.0,22.576380719721094,206.0
me_matmul_00775_29a87e66,f16->f16,f16,f16,384,256,512,50331648,3563761500.0,21.994082425123867,95.0
me_matmul_00354_7d190dc0,f16->f32,f16,f32,320,2496,64,51118080,2586543000.0,21.67358807205218,121.0
me_matmul_00394_893bef60,f16->f32,f16,f32,832,960,64,51118080,3100656500.0,21.85487970021007,110.0
me_matmul_00365_78eb38f0,f16->f32,f16,f32,128,448,896,51380224,4061527000.0,22.124824848223412,177.0
me_matmul_00008_d406810e,f8E5M2->f32,f8E5M2,f32,640,128,640,52428800,10606632500.0,23.084745349938252,377.0
me_matmul_00153_b1e1f948,f8E5M2->f32,f8E5M2,f32,128,128,3200,52428800,11399110000.0,23.156801119123788,310.0
me_matmul_00247_738ce60c,f8E5M2->f32,f8E5M2,f32,128,3200,128,52428800,1897162000.0,21.363624922249922,68.0
me_matmul_00413_66a12fe1,f16->f32,f16,f32,512,64,1600,52428800,21655341500.0,23.79851798151867,471.0
me_matmul_00423_28129af9,f16->f32,f16,f32,2560,320,64,52428800,5624882500.0,22.45046589592983,199.0
me_matmul_00524_93e3958b,f16->f16,f16,f16,320,640,256,52428800,2252451000.0,21.53528479360305,106.0
me_matmul_00656_88b304b9,f16->f16,f16,f16,320,512,320,52428800,2425681000.0,21.609378146654237,81.0
me_matmul_00690_b866e94a,f16->f16,f16,f16,3200,128,128,52428800,6434177000.0,22.58488977548743,189.0
me_matmul_00545_d57524aa,f16->f16,f16,f16,128,384,1088,53477376,3389136500.0,21.94384100612817,91.0
me_matmul_00472_af5f07ab,f16->f32,f16,f32,960,448,128,55050240,4149264500.0,22.146196926566454,123.0
me_matmul_00779_ab6d12d1,f16->f16,f16,f16,384,448,320,55050240,2698953500.0,21.71612994223068,102.0
me_matmul_00192_0f1b6024,f8E5M2->f32,f8E5M2,f32,1152,128,384,56623104,12555103500.0,23.25339307324958,242.0
me_matmul_00753_a8e6600b,f16->f16,f16,f16,2304,128,192,56623104,7464527500.0,22.733427970555894,201.0
me_matmul_00367_a78077c4,f16->f32,f16,f32,64,640,1408,57671680,4732169000.0,22.277649496710527,163.0
me_matmul_00179_7222406a,f8E5M2->f32,f8E5M2,f32,128,512,896,58720256,3924189000.0,22.09042554262724,99.0
me_matmul_00558_8f4fe89d,f16->f16,f16,f16,128,896,512,58720256,2581540000.0,21.67165195703126,137.0
me_matmul_00460_2dc9d82c,f16->f32,f16,f32,448,704,192,60555264,3242399000.0,21.899579324864803,95.0
me_matmul_00465_89a1e943,f16->f32,f16,f32,576,832,128,61341696,3198650500.0,21.885994839053733,95.0
me_matmul_00041_15c17314,f8E5M2->f32,f8E5M2,f32,3840,128,128,62914560,15080050000.0,23.436638515170593,308.0
me_matmul_00093_05f8947b,f8E5M2->f32,f8E5M2,f32,384,640,256,62914560,3143037000.0,21.868455366884724,138.0
me_matmul_00047_1e321a3a,f8E5M2->f32,f8E5M2,f32,128,128,3968,65011712,14495894000.0,23.397131273858268,300.0
me_matmul_00436_81c89976,f16->f32,f16,f32,896,192,384,66060288,10765236500.0,23.099587936866516,216.0
me_matmul_00750_d2f509e9,f16->f16,f16,f16,1344,64,768,66060288,17298095500.0,23.573862245684957,387.0
me_matmul_00756_f3197f93,f16->f16,f16,f16,256,1344,192,66060288,2272458000.0,21.54412790199693,67.0
me_matmul_00169_d0488242,f8E5M2->f32,f8E5M2,f32,512,128,1024,67108864,14863332000.0,23.422163077211472,293.0
me_matmul_00228_07f245fd,f8E5M2->f32,f8E5M2,f32,1024,128,512,67108864,15651526000.0,23.4738342571662,291.0
me_matmul_00501_77a03197,f16->f32,f16,f32,512,512,256,67108864,4259557500.0,22.172431118593057,99.0
me_matmul_00520_3feb600b,f16->f32,f16,f32,1024,128,512,67108864,18080288500.0,23.61808814864154,352.0
me_matmul_00323_b5a04532,f16->f32,f16,f32,320,832,256,68157440,3315781500.0,21.921959179406706,82.0
me_matmul_00586_305b6f4d,f16->f16,f16,f16,1408,256,192,69206016,4985777000.0,22.329855095816928,209.0
me_matmul_00475_50a7d18e,f16->f32,f16,f32,64,320,3392,69468160,8740096500.0,22.891187067742834,342.0
me_matmul_00770_c315ae54,f16->f16,f16,f16,64,320,3392,69468160,6118934000.0,22.534653735292487,321.0
me_matmul_00595_abdc4f03,f16->f16,f16,f16,384,576,320,70778880,2919359000.0,21.794629908580493,153.0
me_matmul_00036_d2caeee4,f8E5M2->f32,f8E5M2,f32,2176,128,256,71303168,17960738500.0,23.61145401812877,466.0
me_matmul_00424_56f87a2f,f16->f32,f16,f32,832,448,192,71565312,5465105000.0,22.42164917156509,129.0
me_matmul_00685_203f50f9,f16->f16,f16,f16,384,2944,64,72351744,3125845000.0,21.862970483583286,93.0
me_matmul_00525_23b50752,f16->f16,f16,f16,1984,192,192,73138176,6096715500.0,22.53101602049044,182.0
me_matmul_00506_243b6c3e,f16->f32,f16,f32,128,1792,320,73400320,3172673500.0,21.877840444788728,152.0
me_matmul_00575_732de0a7,f16->f16,f16,f16,320,1792,128,73400320,2501049500.0,21.6399762807292,75.0
me_matmul_00630_53361d11,f16->f16,f16,f16,2240,512,64,73400320,4495838500.0,22.22641802807413,116.0
me_matmul_00045_ff0abe77,f8E5M2->f32,f8E5M2,f32,256,256,1152,75497472,7919885500.0,22.792642585597534,186.0
me_matmul_00046_c60b0037,f8E5M2->f32,f8E5M2,f32,384,256,768,75497472,8121925500.0,22.817833093550867,317.0
me_matmul_00264_2d3338a9,f16->f32,f16,f32,192,2048,192,75497472,2846116000.0,21.76922109474339,82.0
me_matmul_00635_5da2ef8a,f16->f16,f16,f16,512,1152,128,75497472,2687639000.0,21.711928949992945,118.0
me_matmul_00400_4c1d5d85,f16->f32,f16,f32,448,64,2816,80740352,39826406000.0,24.407795996576336,884.0
me_matmul_00785_12f84fff,f16->f16,f16,f16,128,704,896,80740352,3702742000.0,22.03233946321268,173.0
me_matmul_00462_cf6ce6f3,f16->f32,f16,f32,640,1984,64,81264640,3868343000.0,22.076092086924458,118.0
me_matmul_00213_12b2c864,f8E5M2->f32,f8E5M2,f32,128,384,1664,81788928,6583790500.0,22.60787648025235,191.0
me_matmul_00376_134ce8e2,f16->f32,f16,f32,960,448,192,82575360,6300277000.0,22.56385943763129,237.0
me_matmul_00053_6ea55f5b,f8E5M2->f32,f8E5M2,f32,256,640,512,83886080,4143288000.0,22.144755512469946,189.0
me_matmul_00134_ba85686c,f8E5M2->f32,f8E5M2,f32,256,128,2560,83886080,17494742000.0,23.58516621558673,440.0
me_matmul_00167_31a9ceb9,f8E5M2->f32,f8E5M2,f32,256,256,1280,83886080,8947411500.0,22.914630109524524,220.0
me_matmul_00170_91d173e7,f8E5M2->f32,f8E5M2,f32,2560,256,128,83886080,9752653000.0,23.00080518750708,205.0
me_matmul_00440_09ff254b,f16->f32,f16,f32,64,1216,1088,84672512,5448529500.0,22.418611592700778,149.0
me_matmul_00197_d41b170b,f8E5M2->f32,f8E5M2,f32,256,2688,128,88080384,2456381500.0,21.621955169044472,66.0
me_matmul_00256_c8eb7a92,f8E5M2->f32,f8E5M2,f32,896,256,384,88080384,9757850000.0,23.001337926219446,337.0
me_matmul_00297_04adf907,f16->f32,f16,f32,512,1344,128,88080384,3599715000.0,22.00412051260796,144.0
me_matmul_00549_79193286,f16->f16,f16,f16,1088,128,640,89128960,12550924000.0,23.25306012531199,339.0
me_matmul_00526_183cc09a,f16->f16,f16,f16,448,3136,64,89915392,3715072000.0,22.03566389581662,108.0
me_matmul_00408_9114522e,f16->f32,f16,f32,192,192,2496,92012544,13576419500.0,23.331600264518794,273.0
me_matmul_00696_17386f95,f16->f16,f16,f16,256,1408,256,92274688,2831218500.0,21.76397302130591,91.0
me_matmul_00311_64d9ce04,f16->f32,f16,f32,192,1088,448,93585408,4012899500.0,22.112779884309322,98.0
me_matmul_00744_da1a8e65,f16->f16,f16,f16,448,192,1088,93585408,8040753500.0,22.807788634651416,202.0
me_matmul_00181_eb01cc4b,f8E5M2->f32,f8E5M2,f32,1152,128,640,94371840,20515699000.0,23.744456234889885,479.0
me_matmul_00344_0838cae3,f16->f32,f16,f32,192,2624,192,96731136,3425293500.0,21.954452998419786,122.0
me_matmul_00567_2b1f20f2,f16->f16,f16,f16,256,1984,192,97517568,2929083500.0,21.79795541240888,121.0
me_matmul_00608_d7e91877,f16->f16,f16,f16,192,256,1984,97517568,7161363500.0,22.691966232749806,175.0
me_matmul_00421_ce8974d5,f16->f32,f16,f32,320,960,320,98304000,4134966500.0,22.1427450638173,102.0
me_matmul_00001_4ab4760d,f8E5M2->f32,f8E5M2,f32,256,768,512,100663296,4325403000.0,22.187771152180094,185.0
me_matmul_00118_bb371d95,f8E5M2->f32,f8E5M2,f32,1024,256,384,100663296,11309539500.0,23.148912410065144,242.0
me_matmul_00244_e0be613e,f8E5M2->f32,f8E5M2,f32,512,256,768,100663296,11062111500.0,23.126791728019718,226.0
me_matmul_00661_5162038d,f16->f16,f16,f16,128,960,832,102236160,4113989000.0,22.13765895437681,151.0
me_matmul_00470_3d6310a6,f16->f32,f16,f32,512,448,448,102760448,6892902000.0,22.65375802342694,275.0
me_matmul_00484_cbc7ded0,f16->f32,f16,f32,2112,256,192,103809024,12868606000.0,23.278056538779758,267.0
me_matmul_00066_751764b2,f8E5M2->f32,f8E5M2,f32,1280,128,640,104857600,22748324500.0,23.84775733127955,442.0
me_matmul_00467_1ef28779,f16->f32,f16,f32,128,320,2560,104857600,12058131000.0,23.213005041111188,270.0
me_matmul_00713_65b050f4,f16->f16,f16,f16,256,3200,128,104857600,3325075500.0,21.92475821756335,125.0
me_matmul_00751_e2ad300a,f16->f16,f16,f16,320,128,2624,107479040,14524406500.0,23.399096278264373,404.0
me_matmul_00610_ec9154dc,f16->f16,f16,f16,1472,576,128,108527616,4815123000.0,22.295027427041568,149.0
me_matmul_00034_2faa14d3,f8E5M2->f32,f8E5M2,f32,256,1664,256,109051904,3040626000.0,21.835329252218344,75.0
