benchmark,mode,dtype,acc,M,K,N,mnk,ticks,log_ticks,host_seconds
me_matmul_00387_9ef70297,f16->f32,f16,f32,1536,1216,256,478150656,18424586000.0,23.63695180529854,423.0
me_matmul_00546_abe404bd,f16->f16,f16,f16,192,1088,2304,481296384,14195518000.0,23.376192117927978,372.0
me_matmul_00539_4d91dbc0,f16->f16,f16,f16,1280,128,2944,482344960,61599163000.0,24.843914119731235,1364.0
me_matmul_00186_9f43909d,f8E5M2->f32,f8E5M2,f32,384,896,1408,484442112,17258874500.0,23.571592311900783,434.0
me_matmul_00553_452969b1,f16->f16,f16,f16,3392,320,448,486277120,27945955500.0,24.053538321246712,663.0
me_matmul_00709_11411451,f16->f16,f16,f16,3712,256,512,486539264,34142503000.0,24.253808867383878,768.0
me_matmul_00603_c36f5c74,f16->f16,f16,f16,768,1664,384,490733568,9318478500.0,22.955265201244043,320.0
me_matmul_00242_365fee26,f8E5M2->f32,f8E5M2,f32,2048,384,640,503316480,35842012000.0,24.302386561870296,872.0
me_matmul_00257_f007968a,f8E5M2->f32,f8E5M2,f32,640,1024,768,503316480,15838651500.0,23.48571908713295,416.0
me_matmul_00277_5e9f8cb7,f16->f32,f16,f32,960,1024,512,503316480,20636245000.0,23.75031483271424,450.0
me_matmul_00059_69470152,f8E5M2->f32,f8E5M2,f32,384,384,3456,509607936,37085619500.0,24.336495116862604,810.0
me_matmul_00106_a308df43,f8E5M2->f32,f8E5M2,f32,512,3968,256,520093696,7733436500.0,22.768819167378822,275.0
me_matmul_00783_d6deed5a,f16->f16,f16,f16,320,2560,640,524288000,9770686000.0,23.002652515479856,249.0
me_matmul_00252_da4a539e,f8E5M2->f32,f8E5M2,f32,1792,2304,128,528482304,10551773000.0,23.07955973962055,280.0
me_matmul_00226_8c49b18d,f8E5M2->f32,f8E5M2,f32,512,2048,512,536870912,9784719000.0,23.004087719957468,221.0
me_matmul_00547_11b7bb06,f16->f16,f16,f16,1472,384,960,542638080,26028555500.0,23.982460060751894,577.0
me_matmul_00189_dae2cb7c,f8E5M2->f32,f8E5M2,f32,640,3328,256,545259520,8249245500.0,22.833387578565326,193.0
me_matmul_00339_cb30a44a,f16->f32,f16,f32,256,3328,640,545259520,12581314000.0,23.25547853427436,285.0
me_matmul_00340_09f135fb,f16->f32,f16,f32,384,832,1792,572522496,27294311000.0,24.029944129143082,509.0
me_matmul_00478_ce562f03,f16->f32,f16,f32,128,2304,1984,585105408,20124161500.0,23.72518699478677,523.0
me_matmul_00050_f8db93bc,f8E5M2->f32,f8E5M2,f32,1280,3584,128,587202560,9853549500.0,23.01109758254797,253.0
me_matmul_00195_62c37775,f8E5M2->f32,f8E5M2,f32,1280,1792,256,587202560,13176652000.0,23.3017123125076,397.0
me_matmul_00593_b13dbad7,f16->f16,f16,f16,128,1216,3776,587726848,20102887500.0,23.724129298410222,521.0
me_matmul_00669_ee3cb8a0,f16->f16,f16,f16,192,3712,832,592969728,12634923500.0,23.25973052315803,349.0
me_matmul_00431_b849af16,f16->f32,f16,f32,768,4032,192,594542592,12776131500.0,23.270844540542534,352.0
me_matmul_00773_f6d8fca3,f16->f16,f16,f16,384,2688,576,594542592,10242711500.0,23.04983221642766,312.0
me_matmul_00665_7c4bd37a,f16->f16,f16,f16,3072,512,384,603979776,25687029000.0,23.96925199326834,533.0
me_matmul_00269_bea646e4,f16->f32,f16,f32,320,3712,512,608174080,12828321500.0,23.274921180826844,293.0
me_matmul_00025_75e06682,f8E5M2->f32,f8E5M2,f32,128,1792,2688,616562688,19694204500.0,23.70359024159137,543.0
me_matmul_00343_2d4aabac,f16->f32,f16,f32,896,512,1344,616562688,40380571500.0,24.421614602777012,770.0
me_matmul_00144_6e6038b2,f8E5M2->f32,f8E5M2,f32,512,1920,640,629145600,12501322500.0,23.24910027565824,265.0
me_matmul_00694_5f2e2742,f16->f16,f16,f16,192,1600,2048,629145600,15740737500.0,23.479517933984123,415.0
me_matmul_00500_694dc369,f16->f32,f16,f32,704,832,1088,637272064,28003619000.0,24.055599588769553,715.0
me_matmul_00641_daf2b8d8,f16->f16,f16,f16,1152,512,1088,641728512,24221632000.0,23.910511955129923,523.0
me_matmul_00135_81cb2a68,f8E5M2->f32,f8E5M2,f32,3328,384,512,654311424,51228544000.0,24.659562713646483,943.0
me_matmul_00689_12168e6b,f16->f16,f16,f16,2048,2496,128,654311424,15016786000.0,23.432434479026934,680.0
me_matmul_00441_efed1418,f16->f32,f16,f32,1600,640,640,655360000,31481813000.0,24.172675850959234,719.0
me_matmul_00556_e2d8545c,f16->f16,f16,f16,704,2432,384,657457152,10805500500.0,23.103321146980086,279.0
me_matmul_00021_1e75904b,f8E5M2->f32,f8E5M2,f32,1024,1024,640,671088640,19382655000.0,23.687644430929836,399.0
me_matmul_00187_8300ed48,f8E5M2->f32,f8E5M2,f32,2048,640,512,671088640,28947086000.0,24.088735379595256,687.0
me_matmul_00090_94919e3d,f8E5M2->f32,f8E5M2,f32,1536,384,1152,679477248,47529180000.0,24.58460967516178,1156.0
me_matmul_00733_a4d5b396,f16->f16,f16,f16,1152,768,768,679477248,16716796000.0,23.53967979944595,429.0
me_matmul_00212_2fc8a08f,f8E5M2->f32,f8E5M2,f32,1408,384,1280,692060160,48307501500.0,24.600852696104507,1153.0
me_matmul_00395_3efb36a3,f16->f32,f16,f32,448,640,2432,697303040,39998711500.0,24.412113078041514,859.0
me_matmul_00612_eb58f74c,f16->f16,f16,f16,1216,2240,256,697303040,12174380500.0,23.222599621663605,348.0
me_matmul_00163_5a6a64a8,f8E5M2->f32,f8E5M2,f32,3584,1536,128,704643072,19657278500.0,23.70171351380258,560.0
